entry,at,order
"The player ""hyq @ HZkdinonr0"" passed the room ownership to ""mouyu1021 @ UAV9Myl4l0"".",2026-02-14T18:09:40.273Z,177109258027300
"The player ""nw @ pNAnuyycHK"" quits the game with a stack of 301.",2026-02-14T18:02:57.341Z,177109217734102
"The player ""zjq @ hrS5DgYeW9"" stand up with the stack of 410.",2026-02-14T18:02:57.341Z,177109217734101
"The player ""mouyu1021 @ UAV9Myl4l0"" stand up with the stack of 1008.",2026-02-14T18:02:57.341Z,177109217734100
"-- ending hand #194 --",2026-02-14T18:02:51.430Z,177109217143002
"""zjq @ hrS5DgYeW9"" collected 6 from pot",2026-02-14T18:02:51.430Z,177109217143001
"Uncalled bet of 3 returned to ""zjq @ hrS5DgYeW9""",2026-02-14T18:02:51.430Z,177109217143000
"""mouyu1021 @ UAV9Myl4l0"" folds",2026-02-14T18:02:50.628Z,177109217062800
"""nw @ pNAnuyycHK"" folds",2026-02-14T18:02:49.482Z,177109216948200
"""zjq @ hrS5DgYeW9"" bets 3",2026-02-14T18:02:48.226Z,177109216822600
"Turn: 7♥, 7♠, 7♦ [8♥]",2026-02-14T18:02:43.366Z,177109216336600
"""mouyu1021 @ UAV9Myl4l0"" checks",2026-02-14T18:02:42.551Z,177109216255100
"""nw @ pNAnuyycHK"" checks",2026-02-14T18:02:41.398Z,177109216139800
"""zjq @ hrS5DgYeW9"" checks",2026-02-14T18:02:38.899Z,177109215889900
"Flop:  [7♥, 7♠, 7♦]",2026-02-14T18:02:37.078Z,177109215707800
"""zjq @ hrS5DgYeW9"" checks",2026-02-14T18:02:36.235Z,177109215623500
"""mouyu1021 @ UAV9Myl4l0"" calls 2",2026-02-14T18:02:34.585Z,177109215458500
"""nw @ pNAnuyycHK"" calls 2",2026-02-14T18:02:33.221Z,177109215322100
"""zjq @ hrS5DgYeW9"" posts a big blind of 2",2026-02-14T18:02:30.125Z,177109215012507
"Dead Small Blind",2026-02-14T18:02:30.125Z,177109215012506
"Player stacks: #1 ""zjq @ hrS5DgYeW9"" (406) | #5 ""nw @ pNAnuyycHK"" (303) | #7 ""mouyu1021 @ UAV9Myl4l0"" (1010)",2026-02-14T18:02:30.125Z,177109215012502
"-- starting hand #194 (id: sdytznkwyhvp)  No Limit Texas Hold'em (dead button) --",2026-02-14T18:02:30.125Z,177109215012501
"The player ""lmm @ 4Iies5lZZX"" quits the game with a stack of 635.",2026-02-14T18:02:30.125Z,177109215012500
"-- ending hand #193 --",2026-02-14T18:02:27.209Z,177109214720902
"""zjq @ hrS5DgYeW9"" collected 32 from pot",2026-02-14T18:02:27.209Z,177109214720901
"Uncalled bet of 16 returned to ""zjq @ hrS5DgYeW9""",2026-02-14T18:02:27.209Z,177109214720900
