date,player_nickname,total_net,total_buy_in,total_buy_out,total_stack,total_sessions
2026-02-14,wjh,1328,3059,4387,0,6
2026-02-14,luoyueAA,864,1400,0,2264,3
2026-02-14,mouyu1021,746,700,438,1008,3
2026-02-14,cy,740,400,1140,0,2
2026-02-14,hzh,687,1078,1765,0,4
2026-02-14,latent,474,1000,1308,166,6
2026-02-14,zqs,77,700,777,0,2
2026-02-14,qkc,13,400,413,0,1
2026-02-14,peng,10,800,0,810,4
2026-02-14,wyf,-39,200,161,0,1
2026-02-14,hyq,-61,1400,1339,0,2
2026-02-14,Nuo,-114,800,686,0,2
2026-02-14,wmy,-160,800,640,0,4
2026-02-14,Richard,-200,200,0,0,1
2026-02-14,SW,-380,600,0,220,3
2026-02-14,zengy,-511,800,289,0,4
2026-02-14,zjq,-663,1334,261,410,6
2026-02-14,wn,-1050,3270,1696,524,7
2026-02-14,lmm,-1761,3412,1651,0,12
